Timestamp,Barcode,Representation indicators from cover and summary,Language
10/6/2023 14:41:28,30405012448739,"Race/Ethnicity, indigenous",English
10/6/2023 14:42:38,30405010258700,,English
10/6/2023 14:43:15,30405010255185,,English
10/6/2023 14:43:58,30405020231440,,English
10/6/2023 14:45:09,30007060418604,"Race/Ethnicity, multicultural",English
10/6/2023 14:45:40,30405000696166,Animals and/or mythical creatures,English
10/6/2023 14:46:42,30405001016034,Animals and/or mythical creatures,English
10/6/2023 14:48:15,30405012721010,"Race/Ethnicity, Animals and/or mythical creatures, indigenous",English
10/6/2023 14:49:13,30007110004632,"Race/Ethnicity, Animals and/or mythical creatures, latin america, mexico","English, Spanish"
10/13/2023 10:24:22,30405000963582,,English
10/13/2023 10:25:35,30007060082558,"Race/Ethnicity, indigenous, great plains",English
10/13/2023 10:28:01,30405010314651,,English
10/13/2023 10:28:23,30405091401582,,English
10/13/2023 10:28:57,3F405020017344,,English
10/13/2023 10:29:24,30405001282222,,English
10/13/2023 10:30:15,30405000685425,,English
10/13/2023 10:30:57,30405001199236,,English
10/13/2023 10:31:32,30405001155998,,English
10/13/2023 10:32:02,30405010224918,,English
10/13/2023 10:32:35,30007060256707,Animals and/or mythical creatures,English
10/13/2023 10:34:25,30405012517707,"Race/Ethnicity, Animals and/or mythical creatures, Black",English
10/13/2023 10:35:24,30007090130542,"Race/Ethnicity, Black",English
10/13/2023 10:35:46,30405011647570,,English
10/13/2023 10:36:12,30405020073289,,English
10/13/2023 10:37:02,30405012274077,"Animals and/or mythical creatures, indigenous",English
10/13/2023 10:37:21,30405012930413,Animals and/or mythical creatures,English
10/13/2023 10:37:51,30405001510770,,English
10/13/2023 10:38:21,30405011808552,,English
10/13/2023 10:38:45,30405020041377,,English
10/13/2023 10:39:03,30007110004535,Animals and/or mythical creatures,English
10/13/2023 10:39:50,30405070012070,Animals and/or mythical creatures,English
10/13/2023 10:41:59,30405020261587,"Race/Ethnicity, Animals and/or mythical creatures, AAPI, japan",English
10/13/2023 10:42:44,30405020017823,Economic Welfare,English
10/13/2023 10:44:20,30405020037102,,English
10/13/2023 10:44:48,30007060325866,Animals and/or mythical creatures,English
10/13/2023 10:45:29,30007060320453,Animals and/or mythical creatures,English
10/13/2023 10:46:29,30007110005455,"Race/Ethnicity, africa",English
10/13/2023 10:47:06,30405013507020,,English
10/13/2023 10:48:26,30405012447111,"Race/Ethnicity, Black, trinidad",English
10/13/2023 10:52:16,30405070025429,Animals and/or mythical creatures,English
10/13/2023 10:52:47,30405012694852,,English
10/13/2023 10:53:33,30007060408076,,English
10/13/2023 10:54:09,30405001714372,,English
10/13/2023 10:54:32,30007060082707,,English
10/13/2023 10:55:04,30405001663363,,English
10/13/2023 10:55:45,30405001501167,,English
10/13/2023 10:56:10,30405020357484,,English
10/13/2023 10:57:34,30007060378915,"Animals and/or mythical creatures, latin america",English
10/13/2023 10:58:01,30007060283974,,English
10/13/2023 10:58:28,30007110005498,Animals and/or mythical creatures,English
10/13/2023 10:58:58,30007110000618,russia,English
10/13/2023 11:00:21,30405001571350,"Animals and/or mythical creatures, africa",English
10/13/2023 11:01:11,30405011998866,"Animals and/or mythical creatures, africa",English
10/13/2023 11:01:29,30405020032541,"Animals and/or mythical creatures, africa",English
10/13/2023 11:02:45,30007060407607,"Religion, Animals and/or mythical creatures, jewish",English
10/13/2023 11:03:38,30405012744012,,English
10/13/2023 11:04:30,30007060420766,"Animals and/or mythical creatures, spain",English
10/13/2023 11:05:15,30405012005612,"Animals and/or mythical creatures, africa, swahili",English
10/13/2023 11:11:33,30007060132684,,English
10/13/2023 11:12:06,30007110005278,,English
10/13/2023 11:12:53,30405012179623,"Race/Ethnicity, Black",English
10/13/2023 11:13:22,30405020038522,"Animals and/or mythical creatures, africa",English
10/13/2023 11:14:48,30405001531933,russia,English
10/13/2023 11:15:46,3000706046330,"Race/Ethnicity, indigenous, northwest",English
10/13/2023 11:19:14,30007060082434,"Animals and/or mythical creatures, africa, bakongo",English
10/13/2023 11:19:58,30405012823865,"Race/Ethnicity, Animals and/or mythical creatures, indigenous, latin america, brazil",English
10/13/2023 11:20:17,30405013501049,Animals and/or mythical creatures,English
10/13/2023 11:21:11,30405000573449,Animals and/or mythical creatures,English
10/13/2023 11:22:26,30405010258841,"Race/Ethnicity, AAPI, china",English
10/13/2023 11:22:51,30007110001781,Animals and/or mythical creatures,English
10/13/2023 11:23:35,30007110005282,"Animals and/or mythical creatures, multicultural",English
10/13/2023 11:24:00,30405001650295,Animals and/or mythical creatures,English
